ID,BLOCK,X,Y
52889,462501271168,-0.3456892,39.4846753
52889,462501271168,-0.3456958,39.4846815
52889,462501271168,-0.345704,39.4846864
52889,462501271168,-0.345708,39.4846881
52889,462501271168,-0.3457135,39.4846898
52889,462501271168,-0.3457237,39.4846915
52889,462501271168,-0.3457341,39.4846913
52889,462501271168,-0.3457441,39.4846894
52889,462501271168,-0.3457534,39.4846858
52889,462501271168,-0.345755,39.484685
52889,462501271168,-0.3457583,39.484683
52889,462501271168,-0.346102,39.484464
52889,462501271168,-0.3470344,39.4838701
52889,462501271168,-0.347245,39.4837359
52889,462501271168,-0.3473769,39.4836519
52889,462501271168,-0.347393,39.4836403
52889,462501271168,-0.3474074,39.4836275
52889,462501271168,-0.3474199,39.4836136
52889,462501271168,-0.3474305,39.4835988
52889,462501271168,-0.347439,39.4835832
52889,462501271168,-0.3474398,39.4835823
52889,462501271168,-0.3474407,39.4835796
52889,462501271168,-0.3474414,39.4835768
52889,462501271168,-0.3474422,39.4835741
52889,462501271168,-0.3474453,39.4835669
52889,462501271168,-0.3474493,39.4835502
52889,462501271168,-0.3474511,39.4835333
52889,462501271168,-0.3474511,39.4835268
52889,462501271168,-0.3474505,39.4835164
52889,462501271168,-0.3474476,39.4834995
52889,462501271168,-0.3474424,39.4834831
52889,462501271168,-0.347435,39.4834671
52889,462501271168,-0.3474254,39.4834518
52889,462501271168,-0.3474228,39.4834482
52889,462501271168,-0.3474163,39.4834407
52889,462501271168,-0.3474053,39.4834306
52889,462501271168,-0.3473996,39.4834263
52889,462501271168,-0.347373,39.4834045
52889,462501271168,-0.3473582,39.4833934
52889,462501271168,-0.3473133,39.4833634
52889,462501271168,-0.3472651,39.4833366
52889,462501271168,-0.3472647,39.4833364
52889,462501271168,-0.3472147,39.4833133
52889,462501271168,-0.3471618,39.4832936
52889,462501271168,-0.3471558,39.4832916
52889,462501271168,-0.3471824,39.4832363
52889,462501271168,-0.3472105,39.4831772
52889,462501271168,-0.34723,39.483136
52889,462501271168,-0.3472365,39.4831224
52889,462501271168,-0.3474042,39.4831699
52889,462501271168,-0.3474815,39.4831938
52889,462501271168,-0.3474931,39.4831872
52889,462501271168,-0.3475147,39.4831767
52889,462501271168,-0.3475374,39.4831677
52889,462501271168,-0.3475569,39.4831615
52889,462501271168,-0.3475611,39.4831604
52889,462501271168,-0.3475856,39.4831547
52889,462501271168,-0.3476106,39.4831509
52889,462501271168,-0.347636,39.4831488
52889,462501271168,-0.3476439,39.4831496
52889,462501271168,-0.3476631,39.4831508
52889,462501271168,-0.3476824,39.4831502
52889,462501271168,-0.3477014,39.4831478
52889,462501271168,-0.3477199,39.4831436
52889,462501271168,-0.3477327,39.4831396
52889,462501271168,-0.3477377,39.4831378
52889,462501271168,-0.3477544,39.4831303
52889,462501271168,-0.3477698,39.4831213
52889,462501271168,-0.3477837,39.483111
52889,462501271168,-0.347793,39.4831006
52889,462501271168,-0.3478074,39.483088
52889,462501271168,-0.3478273,39.483073
52889,462501271168,-0.3478489,39.4830595
52889,462501271168,-0.3478718,39.4830475
52889,462501271168,-0.347896,39.4830371
52889,462501271168,-0.3478975,39.4830365
52889,462501271168,-0.3479213,39.4830283
52889,462501271168,-0.3479475,39.4830213
52889,462501271168,-0.3479744,39.4830161
52889,462501271168,-0.3480018,39.4830127
52889,462501271168,-0.3481027,39.4830071
52889,462501271168,-0.348236,39.4830034
52889,462501271168,-0.3482555,39.4829525
52889,462501271168,-0.3482856,39.4829603
52889,462501271168,-0.3483527,39.482973
52889,462501271168,-0.348416,39.4829655
52889,462501271168,-0.3484666,39.4829483
52889,462501271168,-0.3484996,39.4829356
52889,462501271168,-0.3485078,39.4829324
52889,462501271168,-0.3485344,39.4829192
52889,462501271168,-0.3485392,39.4829162
52889,462501271168,-0.3486067,39.4828733
52889,462501271168,-0.3486644,39.4828367
52889,462501271168,-0.34874,39.4827884
52889,462501271168,-0.3488487,39.4827183
52889,462501271168,-0.3489478,39.4826543
52889,462501271168,-0.3490063,39.4826169
52889,462501271168,-0.349048,39.4825901
52889,462501271168,-0.3490931,39.4825611
52889,462501271168,-0.3491436,39.4825284
52889,462501271168,-0.3493117,39.4824029
52889,462501271168,-0.3493066,39.4823992
52889,462501271168,-0.3493568,39.4823615
52889,462501271168,-0.3493982,39.4823304
52889,462501271168,-0.3494163,39.4823456
52889,462501271168,-0.3496057,39.4822145
52889,462501271168,-0.3496403,39.4822094
52889,462501271168,-0.3497467,39.4821364
52889,462501271168,-0.3497925,39.4821035
52889,462501271168,-0.3498167,39.4820858
52889,462501271168,-0.3498722,39.4820426
